 First iteration    15461.481497209101             1132   13.658552559371998     
After minimisation   15461.48  1132    13.659

  Partial chi2s 
Dataset    1   5954.32(-59.22)   377  HERA1+2 NCep 920                                
Dataset    2    368.92(-14.61)    70  HERA1+2 NCep 820                                
Dataset    3    688.81(-55.13)   254  HERA1+2 NCep 575                                
Dataset    4   1114.41(-43.99)   204  HERA1+2 NCep 460                                
Dataset    5   2791.36( -7.71)   159  HERA1+2 NCem                                    
Dataset    6    286.53( +1.87)    39  HERA1+2 CCep                                    
Dataset    7    233.98( -1.73)    42  HERA1+2 CCem                                    

 Correlated Chi2    4203.6582013596380     
 Log penalty Chi2   -180.50887527955862     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
  108  sysHZComb1108                          2.1683   +/-   0.6790        :N:M:D
  109  sysHZComb1109                          0.3904   +/-   0.9899        :N:M:D
  110  sysHZComb1110                         -0.8751   +/-   0.7030        :N:M:D
  111  sysHZComb1111                         -1.6870   +/-   0.5494        :N:M:D
  112  sysHZComb1112                          0.3083   +/-   0.9904        :N:M:D
  113  sysHZComb1113                          1.3466   +/-   0.8399        :N:M:D
  114  sysHZComb1114                          1.6539   +/-   0.8060        :N:M:D
  115  sysHZComb1115                          1.0176   +/-   0.7568        :N:M:D
  116  sysHZComb1116                         -0.2358   +/-   0.7727        :N:M:D
  117  sysHZComb1117                          0.3600   +/-   0.8226        :N:M:D
  118  sysHZComb1118                         -0.1972   +/-   0.9966        :N:M:D
  119  sysHZComb1119                          0.3794   +/-   0.9749        :N:M:D
  120  sysHZComb1120                          0.9439   +/-   0.8551        :N:M:D
  121  sysHZComb1121                          0.2999   +/-   0.9900        :N:M:D
  122  sysHZComb1122                          0.1645   +/-   0.9329        :N:M:D
  123  sysHZComb1123                         -0.3377   +/-   0.9286        :N:M:D
  124  sysHZComb1124                         -1.1370   +/-   0.8623        :N:M:D
  125  sysHZComb1125                          0.8295   +/-   0.8723        :N:M:D
  126  sysHZComb1126                         -0.1777   +/-   0.9165        :N:M:D
  127  sysHZComb1127                         -0.0956   +/-   0.9236        :N:M:D
  128  sysHZComb1128                         -0.2407   +/-   0.9555        :N:M:D
  129  sysHZComb1129                          0.2524   +/-   0.8585        :N:M:D
  130  sysHZComb1130                         -0.0307   +/-   0.8074        :N:M:D
